Operation,ProductAffected,Date,Time,AdminName
ADD,DummyProduct,10_12_25,05:13:42_PM,Admin
UPDATE,DummyProduct_to_Dummy,10_12_25,05:20:08_PM,Admin
UPDATE,Dummy_to_Dmy,10_12_25,05:20:51_PM,Admin
UPDATE,Dmy_SubCategory_to_Domi,10_12_25,05:22:24_PM,Admin
UPDATE,Dmy_Quantity_to_2,10_12_25,05:22:30_PM,Admin
ADD,Dummy,10_12_25,05:24:14_PM,Admin
ADD,Dummy,10_12_25,05:25:52_PM,Admin
ADD,Dummy,10_12_25,05:27:38_PM,Admin
ADD,DummyProduct,10_12_25,05:29:24_PM,Admin
DELETE,DummyProduct,10_12_25,05:29:30_PM,Admin
