Operation,UserAffected,Date,Time,AdminName,Message
ADD,testAcc,10_22_25,09:28:04_PM,admin,New_User_Added
UPDATE,testAcc_to_Demo,10_22_25,09:28:24_PM,admin,Incorrect_Username
UPDATE,Demo_PW_to_NewPassword,10_22_25,09:28:52_PM,admin,Forgotten_Password
UPDATE,Demo_to_Cashier,10_22_25,09:29:03_PM,admin,Demoted
ADD,Test,10_26_25,11:47:22_PM,admin,New_User_Added
UPDATE,Test_to_Rain,10_27_25,12:10:03_AM,admin,Forgotten
UPDATE,Rain_PW_to_NewPW,10_27_25,12:10:26_AM,admin,Forgor
UPDATE,Rain_to_Cashier,10_27_25,12:10:37_AM,admin,Demoted
UPDATE,Rain_to_RRR,10_27_25,12:14:22_AM,admin,Forgotten
DELETE,RRR,10_27_25,03:15:19_PM,admin,Account_Deleted
ADD,GUT,10_27_25,03:17:33_PM,admin,New_User_Added
DELETE,GUT,10_27_25,03:17:40_PM,admin,Account_Deleted
DELETE,_ID_4,10_27_25,05:40:15_PM,admin,Deleted_Entry
ADD,rrr,10_28_25,01:07:22_PM,admin,New_User_Added
DELETE,_ID_4,10_28_25,01:07:33_PM,admin,Deleted_Entry
ADD,rrr,10_28_25,01:08:40_PM,admin,New_User_Added
DELETE,_ID_4,10_28_25,01:08:47_PM,admin,Deleted_Entry
DELETE,rrr_ID_4,10_28_25,01:18:36_PM,admin,Deleted_Entry
